,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/a2tys4sD7xzVaogPntGsT1ypVoT.jpg,"[53, 35]",804150,en,Cocaine Bear,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",3813.468,/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,2023-02-22,Cocaine Bear,False,6.5,384
1,False,/jr8tSoJGj33XLgFBy6lmZhpGQNu.jpg,"[16, 12, 35, 10751]",315162,en,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",1875.671,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,2022-12-07,Puss in Boots: The Last Wish,False,8.3,4762
2,False,/2Eewgp7o5AU1xCataDmiIL2nYxd.jpg,"[18, 36]",943822,en,Prizefighter: The Life of Jem Belcher,"At the turn of the 19th century, Pugilism was the sport of kings and a gifted young boxer fought his way to becoming champion of England.",1702.935,/x3PIk93PTbxT88ohfeb26L1VpZw.jpg,2022-06-30,Prizefighter: The Life of Jem Belcher,False,6.7,78
3,False,/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,"[28, 12, 878]",505642,en,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",1568.974,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,2022-11-09,Black Panther: Wakanda Forever,False,7.3,4227
4,False,/wybmSmviUXxlBmX44gtpow5Y9TB.jpg,"[28, 35, 14]",594767,en,Shazam! Fury of the Gods,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",1274.914,/3GrRgt6CiLIUXUtoktcv1g2iwT5.jpg,2023-03-15,Shazam! Fury of the Gods,False,7.0,195
5,False,/nDg8feBTHh52YCAuXpFWynznqAh.jpg,"[53, 28]",850871,es,Sayen,"Sayen is hunting down the men who murdered her grandmother. Using her training and knowledge of nature, she is able to turn the tables on them, learning of a conspiracy from a corporation that threatens her people's ancestral lands.",1339.936,/aCy61aU7BMG7SfhkaAaasS0KzUO.jpg,2023-03-03,Sayen,False,6.4,55
6,False,/22z44LPkMyf5nyyXvv8qQLsbom.jpg,"[27, 9648, 53]",631842,en,Knock at the Cabin,"While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.",1259.787,/dm06L9pxDOL9jNSK4Cb6y139rrG.jpg,2023-02-01,Knock at the Cabin,False,6.4,1078
7,False,/AsEgGeccI32SwMBkxpwhOkhbzmF.jpg,"[28, 878, 53, 27]",1011679,en,Shark Side of the Moon,"Decades ago, the USSR developed unkillable sharks and launched them to the moon. Today, a team of American astronauts will endure the fight of their lives.",1228.46,/v5CfpzxoJDkZxjZAizClFdlEF0U.jpg,2022-08-12,Shark Side of the Moon,False,5.3,110
8,False,/pxJbfnMIQQxCrdeLD0zQnWr6ouL.jpg,"[28, 35, 53]",1077280,en,Die Hart,"Kevin Hart - playing a version of himself - is on a death-defying quest to become an action star. And with a little help from John Travolta, Nathalie Emmanuel, and Josh Hartnett - he just might pull it off.",1012.904,/1EnBjTJ5utgT1OXYBZ8YwByRCzP.jpg,2023-02-22,Die Hart,False,6.1,204
9,False,/7eccX0xay9pDj6ZQvU4cu3whw18.jpg,"[16, 9648, 14, 28, 27]",1003579,en,Batman: The Doom That Came to Gotham,"Explorer Bruce Wayne accidentally unleashes an ancient evil, and returns to Gotham after being away for two decades. There, Batman battles Lovecraftian supernatural forces and encounters allies and enemies such as Green Arrow, Ra's al Ghul, Mr. Freeze, Killer Croc, Two-Face and James Gordon.",1095.846,/hrATQE8ScQceohwInaMluluNEaf.jpg,2023-03-10,Batman: The Doom That Came to Gotham,False,6.7,26
10,False,/9Rq14Eyrf7Tu1xk0Pl7VcNbNh1n.jpg,"[28, 12, 53]",646389,en,Plane,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",1052.525,/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg,2023-01-12,Plane,False,6.9,939
11,False,/h8gHn0OzBoaefsYseUByqsmEDMY.jpg,"[28, 53, 80]",603692,en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",1149.038,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023-03-22,John Wick: Chapter 4,False,8.1,53
12,False,/uNK5dHo6HJpwk1BPcDHHyvX7ZLz.jpg,"[28, 53]",983768,en,Black Warrant,A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.,969.314,/A7vFFZHbDyxfjuYKzJwruTnwwjT.jpg,2023-01-09,Black Warrant,False,5.8,9
13,False,/2E6pIbJien7B9yWpaz8Yd2njzUI.jpg,"[18, 27]",1026563,es,13 exorcismos,"After participating in a séance, young Laura begins to behave strangely. Alarmed, her parents ask Father Olmedo, one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession, for help.",849.175,/8LpnMIqpRiwxpbGR33ALCmVl7gj.jpg,2022-11-04,13 Exorcisms,False,6.2,28
14,False,/ovM06PdF3M8wvKb06i4sjW3xoww.jpg,"[878, 12, 28]",76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",953.075,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,Avatar: The Way of Water,False,7.7,5807
15,False,/5i6SjyDbDWqyun8klUuCxrlFbyw.jpg,[18],677179,en,Creed III,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damien Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.",908.201,/vJU3rXSP9hwUuLeq8IpfsJShLOk.jpg,2023-03-01,Creed III,False,7.1,398
16,False,/bvAMLx00BOr6vkSQWZscwGrPdGI.jpg,"[53, 28, 18, 80]",1058949,en,Little Dixie,"Erstwhile Special Forces operative Doc Alexander is asked to broker a truce with the Mexican drug cartel in secrecy. When Oklahoma Governor Richard Jeffs celebrates the execution of a high-ranking cartel member on TV, his Chief of Staff and Doc inform him about the peace he just ended. But it’s too late, as Cuco, the cartel’s hatchet man, has set his vengeful sights on Doc’s daughter Dixie.",748.604,/cmWTZj9zzT9KFt3XyL0gssL7Ig8.jpg,2023-02-03,Little Dixie,False,6.0,84
17,False,/dlrWhn0G3AtxYUx2D9P2bmzcsvF.jpg,"[878, 27, 35]",536554,en,M3GAN,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",718.675,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,2022-12-28,M3GAN,False,7.4,2147
18,False,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,"[28, 14, 878]",436270,en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",728.951,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,2022-10-19,Black Adam,False,7.1,4529
